game,session_code,trial,player_id,role,participant_code,server_ts_ms,msg_type,lane,t_rel_ms
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317062944.789,set_game_settings,,-71284.37670898438
corridor,cdo3g5c8,1,2,avoider,4pnhmhns,1780317080860.85,ready,,-53368.315673828125
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317134118.7004,ready,,-110.46533203125
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317134229.1658,position,1.0,0.0
corridor,cdo3g5c8,1,2,avoider,4pnhmhns,1780317134258.6265,position,1.0,29.460693359375
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317136670.711,position,0.0,2441.545166015625
corridor,cdo3g5c8,1,2,avoider,4pnhmhns,1780317137043.0933,position,0.0,2813.927490234375
corridor,cdo3g5c8,1,2,avoider,4pnhmhns,1780317137528.9424,position,1.0,3299.776611328125
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317137657.0923,position,1.0,3427.926513671875
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317137739.5254,final_choice,1.0,3510.359619140625
corridor,cdo3g5c8,1,2,avoider,4pnhmhns,1780317137827.1406,final_choice,1.0,3597.974853515625
corridor,cdo3g5c8,1,1,matcher,fivh368p,1780317139037.494,next_trial,,4808.328125
corridor,cdo3g5c8,2,1,matcher,fivh368p,1780317139147.3079,position,0.0,0.0
corridor,cdo3g5c8,2,2,avoider,4pnhmhns,1780317139196.1072,position,1.0,48.79931640625
corridor,cdo3g5c8,2,2,avoider,4pnhmhns,1780317142657.3699,final_choice,1.0,3510.06201171875
corridor,cdo3g5c8,2,1,matcher,fivh368p,1780317142684.4836,final_choice,0.0,3537.17578125
corridor,cdo3g5c8,2,1,matcher,fivh368p,1780317144199.5764,next_trial,,5052.2685546875
corridor,cdo3g5c8,3,1,matcher,fivh368p,1780317144343.5586,position,1.0,0.0
corridor,cdo3g5c8,3,2,avoider,4pnhmhns,1780317144374.4011,position,1.0,30.842529296875
corridor,cdo3g5c8,3,2,avoider,4pnhmhns,1780317147847.5332,final_choice,1.0,3503.974609375
corridor,cdo3g5c8,3,1,matcher,fivh368p,1780317147856.8552,final_choice,1.0,3513.296630859375
corridor,cdo3g5c8,3,1,matcher,fivh368p,1780317149352.3354,next_trial,,5008.77685546875
corridor,cdo3g5c8,4,1,matcher,fivh368p,1780317149482.0977,position,1.0,0.0
corridor,cdo3g5c8,4,2,avoider,4pnhmhns,1780317149543.082,position,0.0,60.984375
corridor,cdo3g5c8,4,2,avoider,4pnhmhns,1780317150587.1338,position,1.0,1105.0361328125
corridor,cdo3g5c8,4,2,avoider,4pnhmhns,1780317150854.5535,position,0.0,1372.455810546875
corridor,cdo3g5c8,4,1,matcher,fivh368p,1780317151185.712,position,0.0,1703.6142578125
corridor,cdo3g5c8,4,2,avoider,4pnhmhns,1780317151631.627,position,1.0,2149.529296875
corridor,cdo3g5c8,4,1,matcher,fivh368p,1780317151924.3413,position,1.0,2442.24365234375
corridor,cdo3g5c8,4,2,avoider,4pnhmhns,1780317152564.3906,position,0.0,3082.29296875
corridor,cdo3g5c8,4,1,matcher,fivh368p,1780317152998.7673,final_choice,1.0,3516.669677734375
corridor,cdo3g5c8,4,2,avoider,4pnhmhns,1780317153050.1362,final_choice,0.0,3568.03857421875
corridor,cdo3g5c8,4,1,matcher,fivh368p,1780317154671.0967,next_trial,,5188.9990234375
corridor,cdo3g5c8,5,1,matcher,fivh368p,1780317154799.8235,position,1.0,0.0
corridor,cdo3g5c8,5,2,avoider,4pnhmhns,1780317154857.1116,position,0.0,57.2880859375
corridor,cdo3g5c8,5,2,avoider,4pnhmhns,1780317157417.74,position,1.0,2617.91650390625
corridor,cdo3g5c8,5,1,matcher,fivh368p,1780317157467.0579,position,0.0,2667.234375
corridor,cdo3g5c8,5,1,matcher,fivh368p,1780317157772.7573,position,1.0,2972.933837890625
corridor,cdo3g5c8,5,1,matcher,fivh368p,1780317158304.8413,final_choice,1.0,3505.017822265625
corridor,cdo3g5c8,5,2,avoider,4pnhmhns,1780317158369.4746,final_choice,1.0,3569.651123046875
corridor,cdo3g5c8,5,1,matcher,fivh368p,1780317159563.0933,next_trial,,4763.269775390625
corridor,cdo3g5c8,6,1,matcher,fivh368p,1780317159686.129,position,1.0,0.0
corridor,cdo3g5c8,6,2,avoider,4pnhmhns,1780317159700.4172,position,0.0,14.288330078125
corridor,cdo3g5c8,6,2,avoider,4pnhmhns,1780317161372.6694,position,1.0,1686.54052734375
corridor,cdo3g5c8,6,1,matcher,fivh368p,1780317161727.2375,position,0.0,2041.108642578125
corridor,cdo3g5c8,6,2,avoider,4pnhmhns,1780317163199.0806,final_choice,1.0,3512.95166015625
corridor,cdo3g5c8,6,1,matcher,fivh368p,1780317163217.1707,final_choice,0.0,3531.041748046875
corridor,cdo3g5c8,6,1,matcher,fivh368p,1780317164748.9556,next_trial,,5062.82666015625
corridor,cdo3g5c8,7,1,matcher,fivh368p,1780317164858.1829,position,1.0,0.0
corridor,cdo3g5c8,7,2,avoider,4pnhmhns,1780317164883.5671,position,0.0,25.38427734375
corridor,cdo3g5c8,7,2,avoider,4pnhmhns,1780317166000.487,position,1.0,1142.30419921875
corridor,cdo3g5c8,7,2,avoider,4pnhmhns,1780317166837.1362,position,0.0,1978.953369140625
corridor,cdo3g5c8,7,1,matcher,fivh368p,1780317167041.2004,position,0.0,2183.017578125
corridor,cdo3g5c8,7,2,avoider,4pnhmhns,1780317167587.9595,position,1.0,2729.776611328125
corridor,cdo3g5c8,7,1,matcher,fivh368p,1780317168360.723,final_choice,0.0,3502.5400390625
corridor,cdo3g5c8,7,2,avoider,4pnhmhns,1780317168406.162,final_choice,1.0,3547.979248046875
corridor,cdo3g5c8,7,1,matcher,fivh368p,1780317169766.1396,next_trial,,4907.956787109375
corridor,cdo3g5c8,8,1,matcher,fivh368p,1780317169891.591,position,1.0,0.0
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317169917.037,position,1.0,25.446044921875
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317170334.4238,position,0.0,442.832763671875
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317170928.7612,position,1.0,1037.170166015625
corridor,cdo3g5c8,8,1,matcher,fivh368p,1780317171200.8057,position,0.0,1309.214599609375
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317171411.663,position,0.0,1520.072021484375
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317171777.123,position,1.0,1885.531982421875
corridor,cdo3g5c8,8,1,matcher,fivh368p,1780317172245.002,position,1.0,2353.410888671875
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317172615.8005,position,0.0,2724.20947265625
corridor,cdo3g5c8,8,1,matcher,fivh368p,1780317173392.1394,final_choice,1.0,3500.54833984375
corridor,cdo3g5c8,8,2,avoider,4pnhmhns,1780317173404.4646,final_choice,0.0,3512.87353515625
corridor,cdo3g5c8,8,1,matcher,fivh368p,1780317174925.1921,next_trial,,5033.60107421875
corridor,cdo3g5c8,9,1,matcher,fivh368p,1780317175052.7932,position,1.0,0.0
corridor,cdo3g5c8,9,2,avoider,4pnhmhns,1780317175082.9055,position,1.0,30.1123046875
corridor,cdo3g5c8,9,2,avoider,4pnhmhns,1780317175519.8545,position,0.0,467.061279296875
corridor,cdo3g5c8,9,2,avoider,4pnhmhns,1780317178561.4238,final_choice,0.0,3508.630615234375
corridor,cdo3g5c8,9,1,matcher,fivh368p,1780317178632.928,final_choice,1.0,3580.134765625
corridor,cdo3g5c8,9,1,matcher,fivh368p,1780317180147.6265,next_trial,,5094.833251953125
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317180295.07,position,1.0,0.0
corridor,cdo3g5c8,10,2,avoider,4pnhmhns,1780317180328.6611,position,1.0,33.591064453125
corridor,cdo3g5c8,10,2,avoider,4pnhmhns,1780317180879.862,position,0.0,584.7919921875
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317181339.342,position,0.0,1044.27197265625
corridor,cdo3g5c8,10,2,avoider,4pnhmhns,1780317181706.2468,position,1.0,1411.1767578125
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317181727.2659,position,1.0,1432.19580078125
corridor,cdo3g5c8,10,2,avoider,4pnhmhns,1780317182187.4683,position,0.0,1892.398193359375
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317182751.2317,position,0.0,2456.16162109375
corridor,cdo3g5c8,10,2,avoider,4pnhmhns,1780317183178.8894,position,1.0,2883.8193359375
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317183686.0784,position,1.0,3391.00830078125
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317183807.195,final_choice,1.0,3512.125
corridor,cdo3g5c8,10,2,avoider,4pnhmhns,1780317183848.4365,final_choice,1.0,3553.366455078125
corridor,cdo3g5c8,10,1,matcher,fivh368p,1780317185179.3955,next_trial,,4884.325439453125
corridor,cdo3g5c8,11,1,matcher,fivh368p,1780317185320.3596,position,1.0,0.0
corridor,cdo3g5c8,11,2,avoider,4pnhmhns,1780317185343.7593,position,1.0,23.399658203125
corridor,cdo3g5c8,11,1,matcher,fivh368p,1780317186786.4004,position,0.0,1466.040771484375
corridor,cdo3g5c8,11,1,matcher,fivh368p,1780317187482.7383,position,1.0,2162.378662109375
corridor,cdo3g5c8,11,2,avoider,4pnhmhns,1780317188812.1086,final_choice,1.0,3491.7490234375
corridor,cdo3g5c8,11,1,matcher,fivh368p,1780317188837.359,final_choice,1.0,3516.999267578125
corridor,cdo3g5c8,11,1,matcher,fivh368p,1780317190163.0774,next_trial,,4842.7177734375
corridor,cdo3g5c8,12,1,matcher,fivh368p,1780317190304.0195,position,1.0,0.0
corridor,cdo3g5c8,12,2,avoider,4pnhmhns,1780317190388.3826,position,1.0,84.363037109375
corridor,cdo3g5c8,12,2,avoider,4pnhmhns,1780317190782.4863,position,0.0,478.466796875
corridor,cdo3g5c8,12,1,matcher,fivh368p,1780317191155.1033,position,0.0,851.083740234375
corridor,cdo3g5c8,12,2,avoider,4pnhmhns,1780317191524.6113,position,1.0,1220.591796875
corridor,cdo3g5c8,12,1,matcher,fivh368p,1780317191906.1482,position,1.0,1602.128662109375
corridor,cdo3g5c8,12,2,avoider,4pnhmhns,1780317192237.3389,position,0.0,1933.3193359375
corridor,cdo3g5c8,12,1,matcher,fivh368p,1780317192310.2961,position,0.0,2006.276611328125
corridor,cdo3g5c8,12,1,matcher,fivh368p,1780317193829.8855,final_choice,0.0,3525.865966796875
corridor,cdo3g5c8,12,2,avoider,4pnhmhns,1780317193899.4453,final_choice,0.0,3595.42578125
corridor,cdo3g5c8,12,1,matcher,fivh368p,1780317195316.3152,next_trial,,5012.295654296875
corridor,cdo3g5c8,13,1,matcher,fivh368p,1780317195445.7017,position,0.0,0.0
corridor,cdo3g5c8,13,2,avoider,4pnhmhns,1780317195477.497,position,0.0,31.79541015625
corridor,cdo3g5c8,13,2,avoider,4pnhmhns,1780317195825.1255,position,1.0,379.423828125
corridor,cdo3g5c8,13,1,matcher,fivh368p,1780317196249.259,position,1.0,803.557373046875
corridor,cdo3g5c8,13,2,avoider,4pnhmhns,1780317198953.9417,final_choice,1.0,3508.239990234375
corridor,cdo3g5c8,13,1,matcher,fivh368p,1780317198992.3196,final_choice,1.0,3546.617919921875
corridor,cdo3g5c8,13,1,matcher,fivh368p,1780317200280.2976,next_trial,,4834.595947265625
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317200398.1428,position,1.0,0.0
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317200415.039,position,0.0,16.896240234375
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317200947.3538,position,0.0,549.2109375
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317201870.3037,position,1.0,1472.160888671875
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317201913.2651,position,1.0,1515.122314453125
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317202251.8962,position,0.0,1853.75341796875
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317202326.3945,position,0.0,1928.251708984375
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317202551.8645,position,1.0,2153.7216796875
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317202607.5361,position,1.0,2209.393310546875
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317202942.5662,position,0.0,2544.42333984375
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317203329.654,position,0.0,2931.51123046875
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317203593.9934,position,1.0,3195.8505859375
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317203756.6592,position,1.0,3358.516357421875
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317203900.5166,position,0.0,3502.373779296875
corridor,cdo3g5c8,14,2,avoider,4pnhmhns,1780317203920.69,final_choice,1.0,3522.547119140625
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317203950.9023,final_choice,0.0,3552.759521484375
corridor,cdo3g5c8,14,1,matcher,fivh368p,1780317205285.4187,next_trial,,4887.27587890625
corridor,cdo3g5c8,15,1,matcher,fivh368p,1780317205407.4336,position,0.0,0.0
corridor,cdo3g5c8,15,2,avoider,4pnhmhns,1780317205435.6238,position,0.0,28.190185546875
corridor,cdo3g5c8,15,2,avoider,4pnhmhns,1780317206013.472,position,1.0,606.038330078125
corridor,cdo3g5c8,15,2,avoider,4pnhmhns,1780317206327.6074,position,0.0,920.173828125
corridor,cdo3g5c8,15,2,avoider,4pnhmhns,1780317206578.8423,position,1.0,1171.40869140625
corridor,cdo3g5c8,15,1,matcher,fivh368p,1780317206659.6042,position,1.0,1252.170654296875
corridor,cdo3g5c8,15,2,avoider,4pnhmhns,1780317206892.7332,position,0.0,1485.299560546875
corridor,cdo3g5c8,15,2,avoider,4pnhmhns,1780317208903.029,final_choice,0.0,3495.595458984375
corridor,cdo3g5c8,15,1,matcher,fivh368p,1780317208930.2546,final_choice,1.0,3522.821044921875
corridor,cdo3g5c8,15,1,matcher,fivh368p,1780317210104.7625,next_trial,,4697.328857421875
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317210218.415,position,1.0,0.0
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317210250.6973,position,0.0,32.2822265625
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317210547.5864,position,1.0,329.17138671875
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317210850.4314,position,0.0,632.016357421875
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317210874.1462,position,0.0,655.731201171875
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317211277.5723,position,1.0,1059.1572265625
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317211429.2585,position,1.0,1210.843505859375
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317211701.788,position,0.0,1483.373046875
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317211849.015,position,0.0,1630.599853515625
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317212007.1445,position,1.0,1788.7294921875
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317212185.298,position,1.0,1966.883056640625
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317212397.0234,position,0.0,2178.6083984375
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317212414.3406,position,0.0,2195.925537109375
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317212663.4832,position,1.0,2445.068115234375
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317212795.026,position,1.0,2576.61083984375
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317213735.5112,final_choice,1.0,3517.09619140625
corridor,cdo3g5c8,16,2,avoider,4pnhmhns,1780317213767.1873,final_choice,1.0,3548.772216796875
corridor,cdo3g5c8,16,1,matcher,fivh368p,1780317215081.35,next_trial,,4862.93505859375
corridor,cdo3g5c8,17,1,matcher,fivh368p,1780317215207.159,position,0.0,0.0
corridor,cdo3g5c8,17,2,avoider,4pnhmhns,1780317215246.1843,position,0.0,39.025390625
corridor,cdo3g5c8,17,2,avoider,4pnhmhns,1780317215598.091,position,1.0,390.93212890625
corridor,cdo3g5c8,17,1,matcher,fivh368p,1780317216784.8237,position,1.0,1577.664794921875
corridor,cdo3g5c8,17,2,avoider,4pnhmhns,1780317217164.314,position,0.0,1957.155029296875
corridor,cdo3g5c8,17,1,matcher,fivh368p,1780317217546.9817,position,0.0,2339.82275390625
corridor,cdo3g5c8,17,2,avoider,4pnhmhns,1780317217876.1174,position,1.0,2668.95849609375
corridor,cdo3g5c8,17,1,matcher,fivh368p,1780317217921.458,position,1.0,2714.299072265625
corridor,cdo3g5c8,17,2,avoider,4pnhmhns,1780317218239.1885,position,0.0,3032.029541015625
corridor,cdo3g5c8,17,1,matcher,fivh368p,1780317218727.7095,final_choice,1.0,3520.550537109375
corridor,cdo3g5c8,17,2,avoider,4pnhmhns,1780317218765.8218,final_choice,0.0,3558.662841796875
corridor,cdo3g5c8,17,1,matcher,fivh368p,1780317220070.6807,next_trial,,4863.521728515625
corridor,cdo3g5c8,18,1,matcher,fivh368p,1780317220188.3015,position,1.0,0.0
corridor,cdo3g5c8,18,2,avoider,4pnhmhns,1780317220286.363,position,0.0,98.0615234375
corridor,cdo3g5c8,18,1,matcher,fivh368p,1780317221867.9846,position,0.0,1679.68310546875
corridor,cdo3g5c8,18,1,matcher,fivh368p,1780317222887.5515,position,1.0,2699.25
corridor,cdo3g5c8,18,2,avoider,4pnhmhns,1780317223240.9788,position,1.0,3052.67724609375
corridor,cdo3g5c8,18,1,matcher,fivh368p,1780317223346.6895,position,0.0,3158.387939453125
corridor,cdo3g5c8,18,1,matcher,fivh368p,1780317223709.8108,final_choice,0.0,3521.50927734375
corridor,cdo3g5c8,18,2,avoider,4pnhmhns,1780317223792.9949,final_choice,1.0,3604.693359375
corridor,cdo3g5c8,18,1,matcher,fivh368p,1780317225018.1416,next_trial,,4829.840087890625
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317225137.6416,position,0.0,0.0
corridor,cdo3g5c8,19,2,avoider,4pnhmhns,1780317225159.1846,position,1.0,21.54296875
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317226583.0723,position,1.0,1445.4306640625
corridor,cdo3g5c8,19,2,avoider,4pnhmhns,1780317226924.1406,position,0.0,1786.4990234375
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317227342.468,position,0.0,2204.826416015625
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317227792.8147,position,1.0,2655.173095703125
corridor,cdo3g5c8,19,2,avoider,4pnhmhns,1780317227887.8987,position,1.0,2750.257080078125
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317228117.4622,position,0.0,2979.820556640625
corridor,cdo3g5c8,19,2,avoider,4pnhmhns,1780317228314.9211,position,0.0,3177.279541015625
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317228462.1196,position,1.0,3324.47802734375
corridor,cdo3g5c8,19,2,avoider,4pnhmhns,1780317228638.0093,final_choice,0.0,3500.36767578125
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317228652.7607,final_choice,1.0,3515.119140625
corridor,cdo3g5c8,19,1,matcher,fivh368p,1780317229943.309,next_trial,,4805.66748046875
